164878,Wilmar International Ltd,ASIA,High,"
***Notes: Avoid long URL on release and clean release (PDF) with any space.  (Due to some Mailing software that has a limit on Hyperlink number of character)

Publishing Workflow:

http://media.corporate-ir.net/media_files/IROL/16/164878/Announcements-Releases_Workflow_WILMAR_2014-10-28.doc 

Sample Alert:

https://sbt.corporate-ir.net/sbt/new/alerts/report_alert.asp?id=5686306",|
219073,AMP Limited ,ASIA,High,High Profile / Sensitive Clients; check SBT,|
170266,Michael Hill International Limited ,ASIA,Very High,"NZX Announcement - IRESSWorkflow: 

After receiving IRESS Alert, post all NZX Announcements and send alert.  (https://www.nzx.com/markets/NZSX/securities/MHI). If release has multiple PDFs, see IRESS posting guide on separate document. For announcement related to their Full/Half year result, please categorize them as 'Results”  


Qshare:
http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/IRESS%20process_Final.pdf&action=default
",|
164117,Goodman Property Trust  ,ASIA,High,"After receiving the IRESS Alert for NZX Announcements 

https://www.nzx.com/markets/NZSX/securities/GMT– post PDF and send alerts for all. If release has multiple PDFs, see IRESS posting guide on separate document. Client will inform us if we have to categorize if  the NZX announcement is for Bonds.   If client provides a Word document, it should be in HTML format ( if you notice any issues with document alignment please immediately notify the client). 
 Qshare:
http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/IRESS%20process_Final.pdf&action=default
",|
"248677  
","ANZ Media   
",ASIA,High,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
144006 ,APN News & Media ,ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
142072 ,AMP ,ASIA,High ,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"219073  
","AMP PR  
",ASIA,High,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"212939  
","Asciano  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
159601 ,Austal ,ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"154279  
",Billabong ,ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
247553 ,"GI Dynamics  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"167466  
","Goodman Group &  Goodman Plus Trust  
",ASIA,High,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"170340  
","Incitec  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"186950  
","Lendlease  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"167698  
","Metcash  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"171717  
","Perpetual Shareholder centre  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"231914  
","Perpetual Media Centre  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"252411  
","Recall Holdings  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"85661  
","SIMS metal management  
",ASIA,Very High ,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"173099  
","Stockland  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"227856  
","Stockland PR  
",ASIA,Medium,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"144042  
","Wesfarmers  
",ASIA,Very High ,"ASX or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
"162796  
",SkyCity ,ASIA,High,"ANZ or Media Announcement: 

http://qshare.org.nasdaqomx.com/projects/home/coaSpecialNotes/_layouts/15/WopiFrame.aspx?sourcedoc=/projects/home/coaSpecialNotes/Shared%20Documents/ASIA%20Workflow/POSTING%20ASX%20ANNOUNCEMENTS%20SEPTEMBER%202015%20-%20Aust%20and%20NZ.pdf&action=default ",|
